20kg: 5, 10kg: 0, 5kg: 0
20kg: 4, 10kg: 2, 5kg: 0
20kg: 4, 10kg: 1, 5kg: 2
20kg: 4, 10kg: 0, 5kg: 4
20kg: 3, 10kg: 4, 5kg: 0
20kg: 3, 10kg: 3, 5kg: 2
20kg: 3, 10kg: 2, 5kg: 4
20kg: 3, 10kg: 1, 5kg: 6
20kg: 3, 10kg: 0, 5kg: 8
20kg: 2, 10kg: 6, 5kg: 0
20kg: 2, 10kg: 5, 5kg: 2
20kg: 2, 10kg: 4, 5kg: 4
20kg: 2, 10kg: 3, 5kg: 6
20kg: 2, 10kg: 2, 5kg: 8
20kg: 2, 10kg: 1, 5kg: 10
20kg: 2, 10kg: 0, 5kg: 12
20kg: 1, 10kg: 8, 5kg: 0
20kg: 1, 10kg: 7, 5kg: 2
20kg: 1, 10kg: 6, 5kg: 4
20kg: 1, 10kg: 5, 5kg: 6
20kg: 1, 10kg: 4, 5kg: 8
20kg: 1, 10kg: 3, 5kg: 10
20kg: 1, 10kg: 2, 5kg: 12
20kg: 1, 10kg: 1, 5kg: 14
20kg: 1, 10kg: 0, 5kg: 16
20kg: 0, 10kg: 10, 5kg: 0
20kg: 0, 10kg: 9, 5kg: 2
20kg: 0, 10kg: 8, 5kg: 4
20kg: 0, 10kg: 7, 5kg: 6
20kg: 0, 10kg: 6, 5kg: 8
20kg: 0, 10kg: 5, 5kg: 10
20kg: 0, 10kg: 4, 5kg: 12
20kg: 0, 10kg: 3, 5kg: 14
20kg: 0, 10kg: 2, 5kg: 16
20kg: 0, 10kg: 1, 5kg: 18
20kg: 0, 10kg: 0, 5kg: 20
