sid,computing_id,cid,pid,submission,judge_output,status,language,submitted_at,score
2,student2,1001,1001,asdfasdf,,judging,cpp,2022-07-28 12:15:26.509667,0
18,student2,1,1006,"#include <stdio.h>
int main(){
	int a;
	scanf(""%d"",&a);
	auto s = [](int x){for(int i=0;i<x;++i) printf("" "");};
	s(a-1); printf("".\n"");
	for(int i=1;i<a;++i){
		s(a-i-1);
		printf(""/"");
		for(int j=1;j<2*i;++j)
			printf(""%c"",'@'+(j<=i?j:2*i-j));
		printf(""\\\n"");
	}
}","",AC,C++17,2022-07-29 23:22:33.410718,50
19,student2,1,1004,"const { createInterface } = require('readline');
const rl = createInterface({
    input: process.stdin,
    output: null
});

rl.question('', n => {
    rl.question('', nums => {
        var sum = 0;
        nums.split(' ').forEach(e => {sum += parseInt(e);});
        console.log(sum);
        rl.close();
    });
});","",AC,NodeJS,2022-07-29 23:23:18.328147,100
15,student2,1001,1003,"#include <iostream>

int main(){
	int n;
	std::cin >> n;
	long long sum = 0, tmp = 0;
	for(int i=0; i<n; ++i){
		std::cin >> tmp;
		sum += tmp;
	}
	std::cout << sum << std::endl;
}",Problem not found,IERR,C++17,2022-07-28 17:59:47.447599,0
20,student2,1,1007,"#include <bits/stdc++.h>
using namespace std;
// incomplete
#define rep(i, a, b) for(int i = a; i < (b); ++i)
#define all(x) begin(x), end(x)
#define sz(x) (int)(x).size()
typedef long long ll;
typedef pair<int, int> pii;
typedef vector<int> vi;
typedef vector<ll> vll;
typedef complex<double> cd;

int main() {
	int n, q, a, b;
    char s[12];
    char c;
    
    scanf(""%d%d"", &n, &q);
    
    vector<string> VS(n+7, ""white"");

    while(q--){
        scanf("" %c"", &c);
        if (c == 'q') {
            scanf(""%d"", &a);
            string ans = VS[a];
            printf(""%s\n"",ans.c_str());
        } else {
            scanf(""%d%d %s"", &a, &b, s);
            string S(s);
            rep(i,a,b+1){
                VS[i] = S;
            }
        }
    }
}","Failed on case 3, test 0",TLE,C++17,2022-07-29 23:23:48.490677,40
16,student2,1,1004,"n = input()
print(sum(list(map(int, input().split()))))","",AC,Python3,2022-07-29 22:39:02.400711,100
17,student2,1,1005,"#include <bits/stdc++.h>
using namespace std;
// incomplete
#define rep(i, a, b) for(int i = a; i < (b); ++i)
#define all(x) begin(x), end(x)
#define sz(x) (int)(x).size()
typedef long long ll;
typedef pair<int, int> pii;
typedef vector<int> vi;
typedef vector<ll> vll;
typedef complex<double> cd;

int n, m;
int N;
vi a;
vector<pii> batch;
// FRONT OF ARROW, BACK OF ARROW
void make_batch(int rep, int step){
	batch.clear();
	int n_to_flip = 1 << (rep);
	int skip = 1 << (step);
	int dir = 0;
	int i = 0;
	int n = 0;
	int k = 0;
	while(i != N){
		if (dir) {
			batch.push_back({i, i+skip});
		} else {
			batch.push_back({i+skip, i});
		}
		i++;
		n++;
		k++;
		if (n == n_to_flip) {
			dir = !dir;
			n = 0;
		}
		if (k == skip) {
			i += skip;
			k = 0;
		}
	}
}
bool set_batch(){
	int k = 0;
	for(auto [i, j] : batch){
		if (a[i] < n && a[j] < n) k++;
	}
	cout << ""q "" << k << endl;
	for(auto [i, j] : batch){
		if (a[i] < n && a[j] < n) {
			cout << a[i] << "" < "" << a[j] << endl;
		}
	}
	vi res(k);
	cin >> res[0];
	if (res[0] == -1) {
		return 0;
	}
	rep(i,1,k) cin >> res[i];
	int p = 0;
	for(auto [i, j] : batch){
		int r;
		if (a[i] < n && a[j] < n) {
			r = res[p++];
		} else if (a[i] >= n && a[j] < n){
			r = 0;
		} else if (a[i] < n && a[j] >= n){
			r = 1;
		} else {
			r = a[i] < a[j];
		}
		if (r) {
			swap(a[i], a[j]);
		}
	}
	return 1;
}

int main() {
	ios_base::sync_with_stdio(false);
	cin.tie(NULL);
	// int n, m;
	cin >> n >> m;
	N = 1;
	int reps = 0;
	while(N < n){
		N <<= 1;
		reps++;
	}
	a.resize(N, 0);
	iota(all(a), 0);
	rep(i,0,reps){
		for(int j=i; j>=0; --j){
			make_batch(i, j);
			if (!set_batch()) {
				return 0;
			}
		}
	}
	cout << ""a"";
	rep(i,0,n) cout << "" "" << a[i];
	cout << endl;

}","",AC,C++17,2022-07-29 22:41:13.512751,100
21,student2,1,1008,asdf,Only your latest submission will be checked,AC,Python3,2022-07-29 23:26:44.55219,10
22,student2,1,1009,"#include <cstdio>
#include <map>
#include <string>
using namespace std;

map<int, string> M;

string q_at(int x){
    auto it = M.upper_bound(x);
    it--;
    return it->second;
}

int main(){
    int n, q, a, b;
    char s[12];
    char c;
    map<int, string>::iterator it, rm_start, rm_end;
    scanf(""%d%d"", &n, &q);
    M[-1]=""white"";
    while(q--){
        scanf("" %c"", &c);
        if (c == 'q') {
            scanf(""%d"", &a);
            it = M.upper_bound(a);
            it--;
            printf(""%s\n"",it->second.c_str());
        } else {
            scanf(""%d%d %s"", &a, &b, s);
            string S(s);
            
            string col_after = q_at(b+1);
            rm_start = M.lower_bound(a);
            rm_end = M.upper_bound(b);

            M.erase(rm_start, rm_end);
            M[a] = S;
            M[b+1] = col_after;
        }
    }
}",Only your latest submission will be checked,AC,C++17,2022-07-29 23:27:05.028664,10
23,student1,1,1007,"#include <bits/stdc++.h>
using namespace std;
// incomplete
#define rep(i, a, b) for(int i = a; i < (b); ++i)
#define all(x) begin(x), end(x)
#define sz(x) (int)(x).size()
typedef long long ll;
typedef pair<int, int> pii;
typedef vector<int> vi;
typedef vector<ll> vll;
typedef complex<double> cd;

int main() {
	int n, q, a, b;
    char s[12];
    char c;
    
    scanf(""%d%d"", &n, &q);
    
    vector<string> VS(n+7, ""white"");

    while(q--){
        scanf("" %c"", &c);
        if (c == 'q') {
            scanf(""%d"", &a);
            string ans = VS[a];
            printf(""%s\n"",ans.c_str());
        } else {
            scanf(""%d%d %s"", &a, &b, s);
            string S(s);
            rep(i,a,b+1){
                VS[i] = S;
            }
        }
    }
}","Failed on case 3, test 0",TLE,C++17,2022-07-30 00:16:36.63303,40
